aʊ̯ɡə,øːɡa
ʃtʏk,stʏkːə
taɪ̯l,deːl
hɛlftə,halːva
kʁaɪ̯s,krɛtːs
kʁaɪ̯s,sɪrːkəl
kʁɔʏ̯t͡s,kɔrːs
kʁɔʏ̯t͡s,krʏsː
liːniː,lɪnːjə
ʃtʁɪç,strɛkː
abstant,avːstɔnd
ɛntfɛɐ̯nʊŋ,avːstɔnd
ɡeːɡənt,trakːt
plat͡s,platːs
ɔɐ̯t,platːs
ɔɐ̯t,stɛlːə
zaɪ̯tə,siːda
mɪtə,mɪtː
ɡəɡɛnstant,fœːrɛmɔl
zaχə,sɑːk
ʁant,ranːd
kantə,kanːt
ɛkə,vroː
ɛkə,hœːɳ
ʃpɪt͡sə,spɛtːs
ɛndə,ɛnːda
lɔχ,hoːl
vɪŋkəl,vɪnːkəl
mʊstɐ,mønːstər
ɡʁøːsə,stuːɭɛk
lɛŋə,lɛŋːd
høːhə,højːd
ɡəvɪçt,tʏŋːd
mɛŋə,mɛŋːd
haʊ̯fən,høːɡ
ʁaɪ̯hə,rɑːd
boːt,boːt
ʁuːdɐ,oːra
ʃlɪtən,slɛːdə
skiː,ɧiːda
laːɡɛɐ̯fɔʏ̯ɐ,lɛːjɛrɛld
last,lasːt
last,bœːɖa
ɡaŋ,ɡɔŋː
ʃʁɪt,steːɡ
nɔɐ̯dən,nɔrː
zyːdən,søːdər
vɛstən,vɛsːtər
ɔstən,øsːtər
hɔlt͡s,trɛː
bʁɛt,brɛːda
platə,platːa
ʃtʏt͡sə,støːd
ʃtʏt͡sə,støtːa
ʃtaŋə,stɔŋː
ʃtɔk,ɕɛpː
ʃtɔk,pɪnːə
ʃtaːp,stɑːv
ʁoːɐ̯,rœːr
haʊ̯s,hʉːs
haɪ̯m,hɛmː
oːfən,ɵŋːn
fuːsboːdən,ɡɔlːv
tɪʃ,buːɖ
ʃtuːl,stuːl
viːɡə,vaɡːa
bɛt,sɛŋː
ʁeːɡaːl,hʏlːa
kɪstə,loːda
fɛnstɐ,fønːstər
tyːɐ̯,dœrː
toːɐ̯,puːʈ
t͡saʊ̯n,stɑːkət
t͡saʊ̯n,stɛŋːsəl
daχ,tɑːk
laɪ̯tɐ,steːɡə
beːzən,kvasːt
ʃpaːtən,spɑːdə
ʃaʊ̯fəl,skuːvəl
ʃaʊ̯fəl,ɧʏffːəl
ɡaːbəl,ɡaffːəl
lœfəl,ɧeːd
mɛsɐ,kniːv
naːɡəl,spiːk
nɛt͡s,nɛːt
haːkən,kruːk
ɡʁɪf,tɑːɡ
ɡʁɪf,hanːdtaɡ
ʃlɔs,lɑːs
bɪlt,bɪlːd
fiːɡuːɐ̯,fiːɡɵr
pʊpə,dɔkːa
bɔʏ̯təl,poːsə
bʏndəl,bɵnːt
bʏndəl,knɪpːa
taʃə,vɛsːka
aɪ̯mɐ,hɪnːk
aɪ̯mɐ,ɛmːbar
dɛkəl,lɔkː
ɡɛʃɪʁ,sɛrːvɪs
ɡɛʃɪʁ,pɔrːslɪn
zak,sɛkː
tasə,kɔpː
tɔp͡f,ɡryːta
tɔp͡f,kasːtrɵl
kɛsəl,ɕɪtːəl
ɛsən,moːl
naːʁʊŋ,næːrɪŋ
ʃpaɪ̯zə,mɑːtrɛt
flaɪ̯ʃ,ɕøtː
ɡətʁaɪ̯də,sɛːd
ɡətʁaɪ̯də,spanːmɔl
bʁaɪ̯,ɡrøːt
bʁoːt,brøːd
ʃaɪ̯bə,ɧiːva
fɛt,fɛtː
bʊtɐ,smœːr
øːl,ɔlːja
zalt͡s,salːt
zʊpə,sɔpːa
hoːnɪç,huːnɵŋ
mɪlç,mjølːk
teː,teː
leːdɐ,lɛːdər
vɔlə,ɵlː
vɔlə,ʏlːə
ʃtɔf,tyːɡ
ʃtɔf,stɔffː
naːdəl,noːl
faːdən,troːd
knɔp͡f,knapː
knoːtən,knʉːt
faɐ̯bə,færːɡ
klaɪ̯dʊŋ,klɛdːsəl
hɛmt,ɧuːʈa
kʁaːɡən,krɑːɡə
ɛɐ̯məl,ærːm
hoːzə,bʏksːɔr
ɡʏɐ̯təl,bɛlːtə
mʏt͡sə,møsːa
ʃuː,skuː
ʃtiːfəl,støːvəl
ʁɪŋ,rɪŋː
bant,banːd
kam,kamː
ʃpiːɡəl,speːɡəl
ʁiːmən,rɛmː
ʃnuːɐ̯,snœːrə
laɪ̯nə,liːna
dɛkə,tɛkːə
kɪsən,dyːna
kɪsən,kɵdːə
tuːχ,ɧɑːl
hantuːχ,hanːdɵk
kʁaft,krafːt
ʃtɛɐ̯kə,stʏrːka
ɡəzʊndhaɪ̯t,hɛlːsa
kʁaŋkhaɪ̯t,ɧɵkːdɔm
ʃmɛɐ̯t͡s,smæːʈa
vʊndə,soːr
fiːbɐ,feːbər
aɐ̯t͡snaɪ̯,meːdɪsɪn
aɐ̯t͡snaɪ̯,lɛːɕɛmɛdəl
bʁʏkə,bruː
bʁʊnən,brɵnː
vaɪ̯də,beːtə
p͡faːt,stiːɡ
veːk,vɛːɡ
ʃtʁaːsə,ɡɑːta
dɔɐ̯f,byː
ʃtat,stɑːd
bʁiːf,breːv
buːχ,buːk
bʊkstaːbə,bɔkːstav
t͡saɪ̯tʊŋ,tiːdnɪŋ
leːbən,liːv
toːt,døːd
ɡʁaːp,ɡrɑːv
kɪɐ̯çə,ɕʏrːka
zʏndə,sʏnːd
ɡɔt,ɡʉːd
aɐ̯baɪ̯tɐ,arːbɛtarə
ʃɛf,ɧeːf
maɪ̯stɐ,mɛsːtarə
aɐ̯t͡st,lɛːkarə
leːʁɐ,læːrarə
ɡɛlt,pɛŋːar
ɡəʃɛft,rœːrɛlsə
laːdən,affːær
pʁaɪ̯s,priːs
vaːʁə,vɑːra
nʊt͡sən,ɡaŋːn
nʊt͡sən,nʏtːa
ʁaɪ̯çtuːm,riːɕɛdɔm
vɛlt,væɭːd
lant,lanːd
ʃtaːt,stɑːt
køːnɪç,kɵŋː
køːnɪç,kuːnɵŋ
maχt,makːt
ɡʁɛnt͡sə,ɡrɛnːs
kʁɪç,kriːɡ
faɪ̯nt,fiːɛndə
ɡəvalt,vɔlːd
kamp͡f,kamːp
kamp͡f,striːd
boːɡən,boːɡə
p͡faɪ̯l,piːl
ɡeːveːʁ,jeːvær
feːlɐ,feːl
lyːɡə,løŋːn
ʃaːdən,skɑːda
ʊŋlʏk,uːtɵr
ʊŋlʏk,uːlʏka
ʃʊlt,skɵlːd
altɐ,ɔlːdər
ʃlʊs,slʉːt
t͡saɪ̯t,tiːd
taːk,dɑːɡ
mɔɐ̯ɡən,mɔrːɡɔn
mɪtaːk,mɪdːaɡ
aːbɛnt,kvɛlː
naχt,natː
vɔχə,vɛkːa
moːnaːt,moːnad
jaːɐ̯,oːr
fʁyːlɪŋ,voːr
zɔmɐ,sɔmːar
hɛɐ̯bst,høsːt
vɪntɐ,vɪnːtər
jaːnuːaːɐ̯,jɑːnɵarɪ
fɛbʁuːaːɐ̯,feːbrɵarɪ
mɛɐ̯t͡s,marːs
apʁiːl,ɑːprɪl
maːiː,majː
juːniː,jʉːnɪ
juːliː,jʉːlɪ
aʊ̯ɡʊst,ɑːɵɡɵstɪ
zɛptɛmbɐ,sɛpːtɛmbər
ɔktoːbɐ,ɔkːtɔbər
noːfɛmbɐ,nuːvɛmbər
deːt͡sɛmbɐ,deːsɛmbər
mɔntaːk,mɔnːdaɡ
diːnstaːk,tɪsːdaɡ
mɪtvɔχ,ɔnːsdaɡ
dɔnɛɐ̯staːk,tɔrːsdaɡ
fʁaɪ̯taːk,freːdaɡ
zamstaːk,lœːɖaɡ
zɔntaːk,sønːdaɡ
ɡʁoːs,stuːr
klaɪ̯n,liːtən
laŋ,lɔŋː
kʊɐ̯t͡s,kuːʈ
bʁaɪ̯t,breːd
ʃmaːl,smɑːl
dɪçt,tɛːt
dɪk,ɕɔkː
dʏn,tɵnː
faɪ̯n,fiːn
fɛst,fasːt
flaχ,platː
ɡlat,ɡlatː
haɐ̯t,hoːɖ
vaɪ̯ç,mjʉːk
ʁʊnt,rɵnːd
ʃpɪt͡s,tɔpːɪɡ
ʃpɪt͡s,spɛtːsɪɡ
ʃaɐ̯f,vasː
ʃaɐ̯f,skarːp
ʃtʊmp͡f,sløː
ʃvɐ,tɵŋː
ʃøːn,ɧøːn
ʃøːn,vakːər
haɪ̯s,heːt
vaɐ̯m,varːm
kalt,kalː
kyːl,svɑːl
kyːl,ɕyːlɪɡ
fʁɪʃ,færːsk
fɔʏ̯çt,fɵkːtɪɡ
nas,voːt
tʁɔkən,tɔrː
fɔl,fɵlː
leːɐ̯,tɔmː
ɔfən,øpːən
ɡəʃlɔsən,stɛŋːd
zaʊ̯bɐ,reːn
ʃmʊt͡sɪç,snɵsːɕɪɡ
ʁoːh,roː
ʁaɪ̯f,muːɡən
lɛkɐ,lɛkːər
zyːs,søːt
bɪtɐ,bɛsːk
bɪtɐ,bɪtːər
zaʊ̯ɐ,sʉːr
hɛl,jʉːs
dʊŋkəl,mœrːk
ʃvaɐ̯t͡s,svɑːʈ
vaɪ̯s,viːt
ʁoːt,røːd
ɡɛlp,ɡʉːl
blaʊ̯,bloː
ɡʁyːn,ɡrøːn
ɡʁaʊ̯,ɡroː
bʊnt,bruːɕɪɡ
bɪlɪç,bɪlːɪɡ
tɔʏ̯ɐ,dyːr
vɛɐ̯tfɔl,væːɖɛfɵl
blɪnt,blɪnːd
taʊ̯p,døːv
kʁɛftɪç,krafːtɪɡ
ʃtaɐ̯k,starːk
ʃvaχ,svɑːɡ
fɛt,feːt
ʃlaŋk,slanːk
hʏbʃ,snʏɡː
hʏbʃ,vakːər
bøːzə,ɔnːd
bøːzə,eːlak
dʊm,dɵmː
faʊ̯l,lɑːt
flaɪ̯sɪç,fliːtɪɡ
ɡaɪ̯t͡sɪç,snoːl
ɡaɪ̯t͡sɪç,jiːrɪɡ
kluːk,kluːk
ɡəʃɪkt,hɛnːdɪɡ
ɡəʃɪkt,ɧɪkːlɪɡ
liːp,ɕæːr
liːp,snɛlː
lʊstɪç,ruːlɪɡ
lʊstɪç,lɵsːtɪɡ
zanft,mɪlːd
hʊŋʁɪç,hɵŋːrɪɡ
kʁaŋk,ɧʉːk
nakt,nɑːkən
tʁaʊ̯ʁɪç,lɛdːsən
tʁaʊ̯ʁɪç,sɔrːɡsən
leːbɛndɪç,leːvandə
ɡuːt,brɑː
ʃlɛçt,doːlɪɡ
ʁɪçtɪç,rɪkːtɪɡ
ʃlɪm,ɪlːa
vaːɐ̯,sanː
alt,ɡamːal
nɔʏ̯,nyː
eːəmaːlɪç,fuːɳ
eːəmaːlɪç,tiːdɪɡarə
alt,ɡamːal
jʊŋ,ɵŋː
aɐ̯m,fatːɪɡ
ʁaɪ̯ç,riːk
bəkant,ɕɛnːd
bəʁyːmt,bərømːd
fʁɛmt,frɛmːandə
fɛɐ̯ʃiːdən,ɔtːɧɪlɪɡ
naːh,næːra
fɐn,fjærːan
lɪŋkɐ,vɛnːstər
ʁɛçtɐ,høːɡər
andeːʁɐ,anːan
ɛɐ̯stɐ,fœrːsta
t͡svaɪ̯tɐ,anːdra
dʁɪtɐ,trɛdːjə
lɛt͡stɐ,sɪsːt
alaɪ̯n,alːɛna
aʊ̯f aɪ̯nmaːl,poː ɛn ɡɔŋː
t͡suːzamən,tɪlːsamans
laŋə,lɛŋːə
plœt͡slɪç,pløtːslɪɡt
zoːfɔɐ̯t,straksː
zoːfɔɐ̯t,jeːnast
ʃpɛːtɐ,seːnarə
jɛt͡st,nʉː
hɔʏ̯tə,iː daɡ
mɔɐ̯ɡən,iː mɔrɡɔn
balt,snɑːʈ
dan,doː
ɡɛstɐn,iː ɡɔr
aɪ̯nst,eːn ɡɔŋ
daːmals,doː
daːmals,deːn ɡɔŋən
daːnaχ,dæːrɛftər
fɔɐ̯hɐ,fœːrə
fɔɐ̯hɐ,fœːrɵt
t͡suːɛɐ̯st,fœrːst
aɪ̯nmaːl,eːn ɡɔŋ
mançmaːl,iːbland
ɔft,ɔfːta
ɪmɐ,alːtɪd
niːmals,alːdrɪɡ
hiːɐ̯,hæːr
hiːɐ̯hiːn,hiːt
foːn hiːɐ̯,hæːrɪfrɔn
dɔɐ̯t,dæːr
dɔɐ̯thiːn,diːt
ɡəʁaːdeːaʊ̯s,rɛtː framː
fɔɐ̯vɛɐ̯t͡s,framː
fɔɐ̯vɛɐ̯t͡s,framːɔt
ʁʏkvɛɐ̯t͡s,bɑːklɛŋəs
t͡suːʁʏk,tɪlːbaka
ʊntən,neːrə
ʊntən,neːdanfœr
hiːnaːp,neːd
hiːnaːp,neːdɔt
oːbən,uːvan
oːbən,uːvanpoː
hiːnaʊ̯f,ɵpː
hiːnaʊ̯f,ɵpːɔt
yːbɐal,øːvɛralt
nɪçt,ɛjː
nɪçt,ɪnːtə
aɪ̯n veːnɪç,liːtət
kaʊ̯m,knapːt
kaʊ̯m,knapːast
zeːʁ,mʏkːət
zoː,soː
nɔχ,ɛːn
nɔχ,ɛnːɵ
nuːɐ̯,bɑːra
nuːɐ̯,ɛnːdast
ʃoːn,reːdan
viːdɐ,oːtər
fɛɐ̯ɡeːbɛns,fœrːjɛvəs
foːɐ̯,ʉːtanfœr
hɪntɐ,bɑːkɔm
ʊntɐ,ɵnːdər
dʊɐ̯ç,jeːnɔm
dʊɐ̯ç,iːjɛnɔm
neːbən,brɛdːvɪd
neːbən,viːd ˈsiːdan ˌɑːv
t͡svɪʃən,mɛlːan
veːɡən,poː ɡrɵnd ɑːv
diːs,dɛtːa
daːs,deːt
aleːs,alːt
ɪç,jɑːɡ
duː,dʉː
eːɐ̯,hanː
viːɐ̯,viː
iːɐ̯,niː
ziː,deː
vaːs,vɑːd
feːɐ̯,vɛmː
voː,vɑːr
voːhiːn,vɑːʈ
viː,hʉːr
vaːʁuːm,varːfœr
viːfiːl,hʉːr mʏkət
aɪ̯ns,eːn
aɪ̯ns,ɛtː
t͡svaɪ̯,tvoː
dʁaɪ̯,treː
fiːɐ̯,fyːra
fʏnf,fɛm
zɛks,sɛksː
ziːbən,ɧʉː
aχt,ɔtːa
nɔʏ̯n,niːɔ
t͡seːn,tiːɔ
ɛlf,ɛlːva
t͡svœlf,tɔlːv
t͡svant͡sɪç,ɕʉːɡɔ
dʁaɪ̯sɪç,trɛtːɪɔ
fiːɐ̯t͡sɪç,fyːʈɪɔ
fʏnft͡sɪç,fɛmːtɪɔ
zɛçt͡sɪç,sɛksːtɪɔ
ziːbt͡sɪç,ɧɵtːɪɔ
aχt͡sɪç,ɔtːɪɔ
nɔʏ̯nt͡sɪç,nɪtːɪɔ
hʊndɛɐ̯t,hɵnːdra
taʊ̯zɛnt,tʉːsən
ʊnt,ɔk
oːdɐ,ɛlːər
ʃteːən,stoː
zɪt͡sən,sɪtːa
liːɡən,lɪɡːa
hɛŋən,hɛŋːa
vɛɐ̯dən,bliː
pasiːʁən,ɧeː
pasiːʁən,hɛnːda
bəɡɪnən,bœrːja
ɛndən,ɛnːda
vɛksəln,vɛksːla
aʊ̯fɡeːən,ɡoː ɵp
ʊntɛɐ̯ɡeːən,ɡoː nɛd
ʃaɪ̯nən,ɧiːna
dɔnɐn,dɵnːdra
veːən,bloːsa
ʃtʁøːmən,fɔrːsa
ʃtʁøːmən,strømːa
fliːsən,flyːta
zɪç dʁeːən,snɵrːa
ʃvaŋkən,vakːla
ʃvɪŋən,svɪŋːa
falən,falːa
bʁɛnən,brɪnːa
ʁaʊ̯χən,ryːka
ʁɛɡnən,rɛŋːna
ɡəfʁiːʁən,fryːsa
taʊ̯ən,tøːa
ʃmɛlt͡sən,smɛlːta
tʁɔknən,tɔrːka
ziːdən,kuːka
ziːdən,ɧʉːda
faʊ̯lən,rɵtːna
fɛɐ̯faʊ̯lən,rɵtːna
ʁaɪ̯sən,brɪsːta
fɛɐ̯zɪŋkən,ɧɵnːka
fɛɐ̯ɡeːən,fœrːɡɔ
ɛɐ̯ʃaɪ̯nən,syːnas
ɛɐ̯ʃaɪ̯nən,viːsa siːɡ
fɛɐ̯ʃvɪndən,fœrːsvɪna
zɪŋkən,ɧɵnːka
abneːmən,avːta
abneːmən,mɪnːskas
t͡suːneːmən,tɪlːtaɡa
ʃtaɪ̯ɡən,stiːɡa
vaksən,vɛksːa
ɡlɛnt͡sən,ɡlɪmːa
fʊŋkəln,tɪnːdra
fʊŋkəln,ɡnɪsːtra
lɛɐ̯mən,broːka
lɛɐ̯mən,vɛːsnas
lɔʏ̯tən,rɪŋːa
klɪŋəln,rɪŋːa
klɪʁən,klɪrːa
bʁaʊ̯zən,brʉːsa
ʁaʊ̯ʃən,sʉːsa
klɪŋən,loːta
klɪŋən,klɪŋːa
bɛlən,ɧɛlːa
hɔʏ̯lən,yːla
hɔʏ̯lən,ɕʉːta
blaːzən,bloːsa
p͡faɪ̯fən,vɪsːla
ʃʁaɪ̯ən,skriːka
ʃtøːnən,støːna
t͡sɪtɐn,darːa
t͡sɪtɐn,ɧɛlːva
leːbən,leːva
ɡəboːʁeːn vɛɐ̯dən,føːdas
atmən,anːdas
tʁɪŋkən,drɪkːa
ɛsən,ɛːta
ʃlʊkən,svɛlːja
myːdeː vɛɐ̯dən,trøtːna
aɪ̯nʃlaːfən,sɔmːna
ʃlaːfən,suːva
aʊ̯fvaχən,vɑːkna
aʊ̯fʃteːən,stiːɡa ɵpː
zɪç ɛɐ̯hoːlən,reːpa siːɡ
zɪç ɛɐ̯hoːlən,hɛmːta siːɡ
kʁaŋk vɛɐ̯dən,ɪnːɧɵkna
kʁaŋk zaɪ̯n,vɑːra ɧʉːk
ʃmɛɐ̯t͡sən,smæːʈa
ʃmɛɐ̯t͡sən,jœːra ɔnːt
hʊstən,hɔsːta
ɡəneːzən,tɪlːfrɪskna
ʃtɛɐ̯bən,døː
ʊmkɔmən,ɔmːkɔma
zɪç beːveːɡən,rœːra siːɡ
zɪç ʁyːʁən,rœːra poː sɪɡ
zɪç ɛɐ̯heːbən,reːsa siːɡ
zɪç zɛt͡sən,sɛtːa siːɡ
hɪnfalən,falːa ɔmːkɵl
laʊ̯fən,løːpa
ʃʁaɪ̯tən,skriːda
ʃpaːt͡siːʁɛŋeːən,prɔmːɛnɛra
aɪ̯lən,iːla
zɪç beːiːlən,ɧʏnːda siːɡ
zaʊ̯zən,sʉːsa
ʁɛnən,løːpa
ʁɛnən,sprɪŋːa
ʃpʁɪŋən,hɔpːa
klɛtɐn,klɛtːra
ʃaʊ̯kəln,ɡɵŋːa
kʁiːçən,krɛːla
ʃvɪmən,sɪmːa
taʊ̯χən,dyːka
ʁuːdɐn,ruː
faːʁən,ɕœːra
fliːɡən,flyːɡa
ɡeːən,ɡoː
vɛɡeːən,ɡoː bɔʈ
abfaːʁən,reːsa
abfaːʁən,ɑːvrɛsa
anhaltən,stanːa
hiːnaɪ̯ŋeːən,ɡoː ɪn
aɪ̯ntʁeːtən,trɛːda iːn
kɔmən,kɔmːa
aŋkɔmən,anːkɔma
t͡suːʁʏkkɔmən,oːtɛrkɔma
blaɪ̯bən,bliː
blaɪ̯bən,fœrːblɪ
vaɐ̯tən,vɛnːta
