ɡɫaˑs,ɔkɔ
nʲeˑbə,nɛbɔ
sɔˑnt͡sə,sɔnt͡sɛ
ɫunaˑ,misʲɑt͡sʲ
zvʲɪzdaˑ,zʲirkɑ
vɔˑzdux,pɔvitrʲɑ
vʲeˑtʲɪr,vitɛr
vɐɫnaˑ,xwɪlʲɑ
vɐdaˑ,wɔdɑ
kaˑmʲɪnʲ,kɑminʲ
pɔˑt͡ʃvə,ɡrunt
zʲɪmlaˑ,zɛmlʲɑ
pɨˑl,pɪl
dɨˑm,dɪm
jɨˑskrə,jiskrɑ
ɐɡɔˑnʲ,wɔɦɔnʲ
svʲeˑt,svitlɔ
tʲeˑnʲ,tʲinʲ
pɐɡɔˑdə,pɔɦɔdɑ
tumaˑn,tumɑn
ɔˑbɫəkə,xmɑrɑ
dəʒtʲ,dɔʂʈ͡ʂ
snʲeˑk,snʲiɦ
lot,lʲid
mɐrɔˑs,mɔrɔz
xɔˑɫət,xɔlɔd
ʒɐraˑ,ʐɑr
jɨˑnʲɪj,jinʲij
raˑduɡə,rɑjduɦɑ
ɡrɔˑm,ɦrʲim
tʲɪt͡ʃʲeˑnʲijə,strumɪnɑ
kaˑplɪ,krɑplʲɑ
pʲeˑnə,pʲinɑ
ɡrʲaˑsʲ,brud
ɔˑzʲɪrə,ɔzɛrɔ
tɔˑpʲ,drɑɦɔwɪnɑ
bɐɫɔˑtə,bɔlɔtɔ
ɫuˑk,luɦ
ɫuˑk,lukɑ
leˑs,lʲis
xɔˑɫm,ɦɔrb
vɐzvɨˑʃənnəstʲ,wɪsɔʈ͡ʂɪnɑ
ɡɐraˑ,ɦɔrɑ
vʲɪrʃɨˑnə,wɛrʂɪnɑ
pʲɪʃʲːeˑrə,pɛʈ͡ʂɛrɑ
skɫɔˑn,sxɪl
jɨstɔˑt͡ʃnʲik,ɖ͡ʐɛrɛlɔ
rut͡ʃʲeˑj,strumɔk
rʲɪkaˑ,rʲiʈ͡ʂkɑ
bʲeˑrʲɪk,bɛrɛɦ
pəbʲɪrʲeˑʒʲɪ,uzbɛrɛʐːɑ
suˑʃə,suʂɑ
mɔˑrʲɪ,mɔrɛ
buˑxtə,buxtɑ
buˑxtə,zɑtɔkɑ
ɔˑstrəf,ɔstrʲiw
t͡svʲɪtɔˑk,kvitkɑ
trɐvaˑ,trɑwɑ
kɔˑrʲɪnʲ,kɔrʲinʲ
dʲeˑrʲɪvə,dɛrɛwɔ
stvɔˑɫ,stɔwbur
kɐraˑ,kɔrɑ
suˑk,ɦjilkɑ
vʲɪtfʲ,ɦɑluzʲ
liˑst,lɪst
bʲɪrʲozə,bɛrɛzɑ
sɐsnaˑ,sɔsnɑ
jɨˑvə,wɛrbɑ
jɛˑl,jɑlɪt͡sʲɑ
rɔˑk,rʲiɦ
pʲɪrɔˑ,pɛrɔ
ʃkuˑrə,xutrɔ
krɨɫɔˑ,krɪlɔ
kɔˑɡətʲ,kiɦɔtʲ
ɫaˑpə,lɑpɑ
xvɔˑst,xvist
jəjt͡sɔˑ,jɑjt͡sɛ
ɡnʲɪzdɔˑ,ɦnʲizdɔ
nɐraˑ,lʲiɦwɔ
ʒɨvɔˑtnəjə,twɑrɪnɑ
staˑdə,stɑdɔ
kɐrɔˑvə,kɔrɔwɑ
bɨˑk,bɪk
bɨˑk,buɦɑj
ɫɔˑʃətʲ,kinʲ
ɐvt͡saˑ,viwt͡sʲɑ
svʲinʲaˑ,swɪnʲɑ
sɐbaˑkə,sɔbɑkɑ
kɔˑʃkə,kiʂkɑ
mʲɪdvʲeˑtʲ,wɛdmidʲ
bʲeˑɫkə,bilkɑ
ɫɔˑsʲ,lɔsʲ
lisaˑ,lɪsɪt͡sʲɑ
zaˑjət͡s,zɑjɛt͡sʲ
mɨˑʃ,mɪʂɑ
vɔˑɫk,wɔwk
ptʲiˑt͡sə,ptɑx
staˑjə,zɦrɑjɑ
kuˑrʲit͡sə,kurkɑ
pʲɪtuˑx,pʲiwɛnʲ
ɡuˑsʲ,ɦuskɑ
ɐrʲoɫ,ɔrɛl
uˑtkə,kɑʈ͡ʂkɑ
sɐvaˑ,sɔwɑ
ʒuraˑvl,ʐurɑwɛlʲ
vɐrɔˑnə,wɔrɔnɑ
kukuˑʃkə,zɔzulʲɑ
leˑbʲɪtʲ,lɛbidʲ
rɨˑbə,rɪbɑ
ɔˑkunʲ,ɔkunʲ
ʃʃuˑkə,ʂʈ͡ʂukɑ
zmʲɪjaˑ,zmijɑ
t͡ʃʲɪrvʲaˑk,ʈ͡ʂɛrwjɑk
pɐuˑk,pɑwuk
murɐvʲeˑj,murɑʂkɑ
vɔˑʃ,wɔʂɑ
kɐmaˑr,kɔmɑr
muˑxə,muxɑ
baˑbət͡ʃkə,mɛtɛlɪk
jaˑɡədə,jɑɦɔdɑ
jaˑbɫəkə,jɑblukɔ
ɡrʲiˑp,ɦrɪb
ɫuˑkəvʲit͡sə,t͡sɪbulʲɑ
sʲeˑmʲɪ,sʲimjɑ
zʲɪrnɔˑ,zɛrnɔ
sʲeˑnə,sʲinɔ
ʃəɫuxaˑ,ʂkirkɑ
jaˑmə,jɑmɑ
ɫɐvuˑʃkə,pɑstkɑ
sʲiɫɔˑk,pɛtlʲɑ
sleˑt,slʲid
zɐɫaˑ,zɔlɑ
zɐɫaˑ,pɔpʲil
pʲeˑpʲɪɫ,zɔlɑ
pʲeˑpʲɪɫ,pɔpʲil
ɡrʲaˑsʲ,brud
ʒɪleˑzə,zɑlʲizɔ
zɔˑɫətə,zɔlɔtɔ
sʲɪrʲɪbrɔˑ,srʲiblɔ
uˑɡəl,wuɦjilʲːɑ
stʲɪkɫɔˑ,sklɔ
ɡliˑnə,ɦlɪnɑ
pʲɪsɔˑk,pʲisɔk
t͡ʃʲɪɫɐvʲeˑk,lʲudɪnɑ
muʒt͡ʃʲiˑnə,ʈ͡ʂɔlɔvik
ʒɛˑnʃʲːinə,ʐjinkɑ
rʲɪbʲonək,dɪtɪnɑ
maˑlt͡ʃʲik,xlɔpɛt͡sʲ
dʲeˑvət͡ʃkə,dʲiwʈ͡ʂɪnɑ
sʲɪmʲaˑ,sʲimjɑ
sʲɪmʲaˑ,rɔdɪnɑ
dʲeˑduʃkə,dʲidusʲ
baˑbuʃkə,bɑbusʲɑ
rɐdʲiˑtʲɪli,bɑtʲkɪ
ɐtʲeˑt͡s,bɑtʲkɔ
maˑtʲ,mɑtɪ
sɨˑn,sɪn
dɔˑt͡ʃʲ,dɔʈ͡ʂkɑ
braˑt,brɑt
sʲɪstraˑ,sɛstrɑ
dʲaˑdʲɪ,dʲɑdʲkɔ
tʲotʲɪ,tʲitkɑ
muˑʃ,ʈ͡ʂɔlɔvik
ʒɪnaˑ,ʐjinkɑ
ʒɪnaˑ,druʐɪnɑ
raˑdəstʲ,rɑdɔʂʈ͡ʂji
smʲeˑx,smix
st͡ʃaˑstʲɪ,ʂʈ͡ʂɑstʲɑ
ɡɔˑrʲɪ,ɦɔrɛ
ʒɪɫaˑnʲijə,bɑʐɑnʲːɑ
vlɪt͡ʃʲeˑnʲijə,bɑʐɑnʲːɑ
duˑx,dux
mɨsl,dumkɑ
paˑmʲɪtʲ,pɑmjɑtʲ
uˑm,rɔzum
smɨˑsɫ,zmist
smɨˑsɫ,znɑʈ͡ʂɛnʲːɑ
pɔˑvət,prɪʈ͡ʂɪnɑ
praˑvdə,prɑwdɑ
bʲɪsʲeˑdə,rɔzmɔwɑ
skaˑzkə,bɑjkɑ
rɐsskaˑs,pɔvistʲ
rɐsskaˑs,ɔpɔvidɑnʲːɑ
səɐbʃʲːeˑnʲijə,pɔvidɔmlɛnʲːɑ
nɔˑvəstʲ,nɔwɪnɑ
jɨˑmʲɪ,jimjɑ
zɐɡaˑdkə,zɑɦɑdkɑ
rʲeˑt͡ʃʲ,prɔmɔwɑ
jɐzɨˑk,mɔwɑ
ɡɔˑɫəs,ɦɔlɔs
sɫɔˑvə,slɔwɔ
znaˑk,znɑk
zɔˑf,ɔklɪk
ʃuˑm,ʂum
zvuˑk,zwuk
zvut͡ʃaˑnʲijə,tɔn
pʲeˑsnʲɪ,pʲisnʲɑ
pɐkɔˑj,spɔkij
luˑdʲi,lʲudɪ
nɐrɔˑt,nɑrɔd
rɐbɔˑtə,rɔbɔtɑ
ɡəstʲ,ɦjistʲ
pɐdaˑrək,pɔdɑrunɔk
jɨɡraˑ,ɦrɑ
ɔˑbʃʲːɪstvə,tɔwɑrɪstwɔ
pɔˑməʃʲː,dɔpɔmɔɦɑ
druˑk,druɦ
druˑk,prɪjɑtɛlʲ
prʲijaˑtʲɪl,tɔwɑrɪʂ
dʲeˑɫə,sprɑwɑ
kɐliˑt͡ʃʲɪstvə,ʈ͡ʂɪslɔ
vʲiˑt,rʲid
kusɔˑk,kusɔk
t͡ʃəstʲ,ʈ͡ʂɑstɪnɑ
pəɫɐvʲiˑnə,pɔlɔwɪnɑ
kruˑk,kruɦ
kruˑk,kɔlɔ
krʲeˑst,xrɛst
liˑnʲijə,lʲinʲijɑ
t͡ʃʲɪrtaˑ,ʂtrɪx
prəmʲɪʒuˑtək,prɔmiʐɔk
rəsstɐjaˑnʲijə,vidstɑnʲ
mʲeˑstnəstʲ,mit͡sːɛvistʲ
prɐstraˑnstvə,plɔʂʈ͡ʂɑ
mʲeˑstə,mit͡sːɛ
stərɐnaˑ,stɔrɔnɑ
sʲɪrʲɪdʲiˑnə,sɛrɛdɪnɑ
prʲɪdmʲeˑt,prɛdmɛt
vʲeˑʃʲː,rʲiʈ͡ʂ
krəj,krɑj
rʲɪbrɔˑ,rɛbrɔ
uˑɡəɫ,rʲiɦ
kɔˑnt͡ʃʲik,kinʈ͡ʂɪk
kɐnʲeˑt͡s,kinɛt͡sʲ
dɨraˑ,dʲirɑ
uˑɡəɫ,kutɔk
uzɔˑr,uzɔr
rɐzmʲeˑr,rɔzmir
dlinaˑ,dɔwʐɪnɑ
vɨsɐtaˑ,wɪsɔtɑ
vʲeˑs,wɑɦɑ
kɐliˑt͡ʃʲɪstvə,kilʲkistʲ
kuˑt͡ʃə,kupɑ
rʲaˑt,rʲɑd
ɫɔˑdkə,ʈ͡ʂɔwɛn
vʲɪsɫɔˑ,wɛslɔ
saˑnʲi,sɑnɪ
ɫɨˑʒə,lɪʐɑ
kɐstʲor,wɔɦnɪʂʈ͡ʂɛ
tʲaˑʒəstʲ,tʲɑɦɑr
tʲaˑʒəstʲ,wɑntɑʐ
xɔˑt,xid
ʃaˑk,krɔk
sʲeˑvʲɪr,pʲiwnʲiʈ͡ʂ
juˑk,pʲiwdɛnʲ
zaˑpət,zɑxid
vɐstɔˑk,sxid
drʲɪvʲɪsʲiˑnə,drɔwɑ
dɐskaˑ,dɔʂkɑ
plitaˑ,plɪtɑ
pɐdpɔˑrkə,pʲidpʲirkɑ
ʒərtʲ,ʐɛrdɪnɑ
paˑɫkə,pɑlɪt͡sʲɑ
ʃɛˑst,pɑlɪt͡sʲɑ
trubaˑ,trubɑ
dɔˑm,dʲim
dɔˑm,xɑtɑ
dɔˑm,ʐɪtlɔ
pʲeˑt͡ʃʲ,pʲiʈ͡ʂ
pɔˑɫ,pʲidlɔɦɑ
stɔˑɫ,stʲil
stuˑɫ,stʲilɛt͡sʲ
kəɫɨbʲeˑl,kɔlɪskɑ
pɐstʲeˑl,lʲiʐkɔ
pɐstʲeˑl,pɔstʲilʲ
pɔˑɫkə,pɔlɪt͡sʲɑ
jaˑʃʲːik,jɑʂʈ͡ʂɪk
ɐknɔˑ,viknɔ
dvʲeˑrʲ,dwɛrʲi
vɐrɔˑtə,wɔrɔtɑ
zɐbɔˑr,pɑrkɑn
zɐbɔˑr,ɔɦɔrɔʐɑ
krɨˑʃə,dɑx
leˑstnʲit͡sə,drɑbɪnɑ
mʲɪtɫaˑ,mitlɑ
ɫɐpaˑtə,zɑstup
sɐvɔˑk,sɔwɔk
sɐvɔˑk,lɔpɑtɑ
vʲiˑɫkə,wɪdɛlkɑ
ɫɔˑʒkə,lɔʐkɑ
nɔˑʃ,nʲiʐ
ɡvəztʲ,t͡svɑx
sʲeˑtʲ,sʲitʲ
krʲuˑk,krʲuk
ruˑt͡ʃkə,ruʈ͡ʂkɑ
ruˑt͡ʃkə,dɛrʐɑk
zɐmɔˑk,zɑmɔk
kɐrtʲiˑnə,kɑrtɪnɑ
fʲiɡuˑrə,fiɦurɑ
kuˑkɫə,lʲɑlʲkɑ
mʲɪʃɔˑk,miʂɛʈ͡ʂɔk
mʲɪʃɔˑk,tɔrbɪnkɑ
svʲaˑzkə,wjɑzkɑ
suˑmkə,sumkɑ
vʲɪdrɔˑ,vidrɔ
krɨˑʃkə,krɪʂkɑ
pɐsuˑdə,pɔsud
mʲɪʃɔˑk,miʂɔk
t͡ʃaˑʃkə,ʈ͡ʂɑʂkɑ
kɐstrʲuˑlɪ,ɦɔrʂʈ͡ʂɪk
kɐtʲoɫ,kɔtɛl
jɪdaˑ,jiʐɑ
pʲiˑʃʃə,xɑrʈ͡ʂ
bluˑdə,strɑwɑ
kuˑʃənʲɪ,strɑwɑ
mʲaˑsə,mjɑsɔ
xleˑp,xlʲib
xleˑp,zbiʐːɑ
kaˑʃə,kɑʂɑ
xleˑp,xlʲib
ɫɐmɔˑtʲ,skɪbɔʈ͡ʂkɑ
ʒɨˑr,ʐɪr
maˑsɫə,mɑslɔ
maˑsɫə,ɔlʲijɑ
sɔˑl,sʲilʲ
suˑp,sup
mʲot,mɛd
məɫɐkɔˑ,mɔlɔkɔ
t͡ʃəj,ʈ͡ʂɑj
kɔˑʒə,ʂkirɑ
ʃərstʲ,ʂɛrstʲ
tkaˑnʲ,tkɑnɪnɑ
jɨɡɫaˑ,ɦɔlkɑ
nʲiˑtkə,nɪtkɑ
puˑɡəvʲit͡sə,ɡud͡zɪk
uˑzʲɪɫ,wuzɔl
kraˑskə,fɑrbɑ
ɐdʲeˑʒdə,ɔdʲɑɦ
ɐdʲeˑʒdə,ubrɑnʲːɑ
rubaˑʃkə,sɔrɔʈ͡ʂkɑ
vərɐtnʲiˑk,kɔmir
rukaˑf,rukɑw
brʲuˑki,brʲukɪ
pɔˑjəs,pɔjɑs
ʃaˑpkə,ʂɑpkɑ
bɐtʲiˑnək,bɔtɪnɔk
sɐpɔˑk,ʈ͡ʂɔbit
kɐlt͡sɔˑ,kilʲt͡sɛ
leˑntə,strʲiʈ͡ʂkɑ
rɐst͡ʃʲoskə,ɦrɛbinɛt͡sʲ
zʲeˑrkəɫə,d͡zɛrkɑlɔ
rʲɪmʲeˑnʲ,rɛminʲ
vʲɪrʲovkə,virʲɔwkɑ
pəvɐdɔˑk,ʂwɔrkɑ
ɐdʲɪjaˑɫə,kɔwdrɑ
pɐduˑʃkə,pɔduʂkɑ
pɫɐtɔˑk,xustkɑ
pəɫɐtʲeˑnt͡sə,ruʂnɪk
sʲiˑɫə,sɪlɑ
krʲeˑpəstʲ,sɪlɑ
zdɐrɔˑvʲɪ,zdɔrɔwjɑ
bɐleˑznʲ,xwɔrɔbɑ
bɔˑl,bilʲ
raˑnə,rɑnɑ
lixɐraˑdkə,ɦɑrʲɑʈ͡ʂkɑ
tʲɪmpʲɪrɐtuˑrə,ɦɑrʲɑʈ͡ʂkɑ
lɪkaˑrstvə,lʲikɪ
mɔˑst,mist
kɐɫɔˑdʲɪt͡s,kɔlɔdʲɑzʲ
paˑstbʲiʃʲːɪ,pɑsɔwɪʂʈ͡ʂɛ
trɐpaˑ,stɛʐkɑ
puˑtʲ,ʂlʲɑx
puˑtʲ,dɔrɔɦɑ
dɐrɔˑɡə,ʂlʲɑx
dɐrɔˑɡə,dɔrɔɦɑ
uˑlit͡sə,wulɪt͡sʲɑ
dɐrɔˑɡə,wulɪt͡sʲɑ
dʲɪrʲeˑvnʲɪ,sɛlɔ
ɡɔˑrət,mistɔ
pʲisʲmɔˑ,lɪst
knʲiˑɡə,knɪɦɑ
knʲiˑɡə,knɪʐkɑ
buˑkvə,bukwɑ
buˑkvə,lʲitɛrɑ
ɡɐzʲeˑtə,ɦɑzɛtɑ
ʒɨznʲ,ʐɪtʲːɑ
smʲɪrtʲ,smɛrtʲ
mɐɡiˑɫə,mɔɦɪlɑ
t͡sɛˑrkəfʲ,t͡sɛrkwɑ
ɡrʲeˑx,ɦrʲix
bɔˑx,bɔɦ
rɐbɔˑt͡ʃʲij,rɔbitnɪk
nɐt͡ʃaˑlnʲik,xɑzʲɑjin
maˑstʲɪr,umilɛt͡sʲ
vraˑt͡ʃ,lʲikɑr
ut͡ʃʲiˑtʲɪl,wʈ͡ʂɪtɛlʲ
dʲeˑnʲɡi,ɦrɔʂji
zɐnʲaˑtʲijə,zɑnʲɑtʲːɑ
məɡɐzʲiˑn,mɑɦɑzɪn
məɡɐzʲiˑn,krɑmnɪt͡sʲɑ
t͡sɪnaˑ,t͡sʲinɑ
tɐvaˑr,tɔwɑr
vɨˑɡədə,wɪɦɔdɑ
vɨˑɡədə,kɔrɪstʲ
bɐɡaˑtstvə,bɑɦɑtstwɔ
mʲiˑr,svit
strɐnaˑ,krɑjinɑ
ɡəsudaˑrstvə,dɛrʐɑwɑ
kɐrɔˑl,kɔrɔlʲ
vɫəstʲ,wlɑdɑ
ɡrɐnʲiˑt͡sə,kɔrdɔn
vəjnaˑ,vijnɑ
vraˑk,wɔrɔɦ
nɐsʲiˑlijə,nɑsɪlʲstwɔ
bɐrʲbaˑ,bij
bɐrʲbaˑ,bɔrɔdʲbɑ
ɫuˑk,luk
strʲɪɫaˑ,strʲilɑ
ruʒʲo,ruʂnɪt͡sʲɑ
ruʒʲo,ɦwɪntʲiwkɑ
ɐʃɨˑbkə,pɔmɪlkɑ
ɫɔˑʃ,brɛxnʲɑ
vrʲeˑt,ʂkɔdɑ
vrʲeˑt,zbɪtɔk
bʲɪdaˑ,nɛʂʈ͡ʂɑstʲɑ
vʲinaˑ,prɔwɪnɑ
vɔˑzrəst,vik
vɔˑzrəst,lʲitɑ
ɐkɐnt͡ʃaˑnʲijə,kinɛt͡sʲ
vrʲeˑmʲɪ,ʈ͡ʂɑs
dʲeˑnʲ,dɛnʲ
uˑtrə,rɑnɔk
pɔˑɫdʲɪnʲ,pʲiwdɛnʲ
vʲeˑt͡ʃʲɪr,wɛʈ͡ʂjir
nɔˑt͡ʃʲ,nʲiʈ͡ʂ
nʲɪdʲeˑlɪ,tɪʐdɛnʲ
mʲeˑsʲɪt͡s,misʲɑt͡sʲ
ɡɔˑt,rʲik
vʲɪsnaˑ,wɛsnɑ
leˑtə,lʲitɔ
ɔˑsʲɪnʲ,ɔsʲinʲ
zʲimaˑ,zɪmɑ
jɐnvaˑrʲ,sʲiʈ͡ʂɛnʲ
fʲɪvraˑl,lʲutɪj
maˑrt,bɛrɛzɛnʲ
ɐprʲeˑl,kvitɛnʲ
məj,trɑwɛnʲ
jɨjuˑnʲ,ʈ͡ʂɛrwɛnʲ
jɨjuˑl,lɪpɛnʲ
aˑvɡust,sɛrpɛnʲ
sʲɪntʲaˑbrʲ,wɛrɛsɛnʲ
ɐktʲaˑbrʲ,ʐɔwtɛnʲ
nɐjaˑbrʲ,lɪstɔpɑd
dʲɪkaˑbrʲ,ɦrudɛnʲ
pənʲɪdʲeˑlnʲik,pɔnɛdʲilɔk
vtɔˑrnʲik,viwtɔrɔk
srʲɪdaˑ,sɛrɛdɑ
t͡ʃʲɪtvʲeˑrk,ʈ͡ʂɛtwɛr
pʲaˑtnʲit͡sə,pjɑtnɪt͡sʲɑ
subbɔˑtə,subɔtɑ
vəskrʲɪsʲeˑnʲɪ,nɛdʲilʲɑ
bɐlʃɔˑj,wɛlɪkɪj
maˑlɪnʲkij,mɑlɪj
maˑlɪnʲkij,mɑlɛnʲkɪj
dliˑnnɨj,dɔwɦɪj
kɐrɔˑtkij,kɔrɔtkɪj
ʃɨrɔˑkij,ʂɪrɔkɪj
uˑzkij,wuzʲkɪj
ɡustɔˑj,ɦustɪj
tɔˑɫstɨj,tɔwstɪj
tɔˑnkij,tɔnkɪj
tɔˑnkij,drʲibnɪj
krʲeˑpkij,mit͡snɪj
pɫɔˑskij,plɔskɪj
ɡɫaˑdkij,rʲiwnɪj
ɡɫaˑdkij,ɦlɑdɛnʲkɪj
tvʲordɨj,twɛrdɪj
mʲaˑɡkij,mjɑkɪj
kruˑɡɫɨj,kruɦlɪj
ɐstrəkɐnʲeˑt͡ʃnɨj,ɦɔstrɔkint͡sɛwɪj
ɔˑstrɨj,ɦɔstrɪj
tupɔˑj,tupɪj
tʲɪ|ʒoɫɨj,wɑʐkɪj
krɐsʲiˑvɨj,wrɔdlɪwɪj
ʒaˑrkij,ʐɑrkɪj
ʒaˑrkij,ɦɑrʲɑʈ͡ʂɪj
tʲopɫɨj,tɛplɪj
xɐɫɔˑdnɨj,xɔlɔdnɪj
prɐxɫaˑdnɨj,prɔxɔlɔdnɪj
svʲeˑʒɨj,sviʐɪj
vɫaˑʒnɨj,wɔɦkɪj
mɔˑkrɨj,mɔkrɪj
suxɔˑj,suxɪj
pɔˑɫnɨj,pɔwnɪj
nɐpɔˑɫnʲɪnnɨj,pɔwnɪj
pustɔˑj,pustɪj
ɐtkrɨˑtɨj,vidkrɪtɪj
zɐkrɨˑtɨj,zɑkrɪtɪj
zɐkrɨˑtɨj,zɑʈ͡ʂɪnɛnɪj
t͡ʃʲiˑstɨj,ʈ͡ʂɪstɪj
t͡ʃʲiˑstɨj,ɔxɑjnɪj
ɡrʲaˑznɨj,brudnɪj
sɨrɔˑj,sɪrɪj
zrʲeˑɫɨj,zrʲilɪj
vkuˑsnɨj,smɑʈ͡ʂnɪj
sɫaˑdkij,sɔlɔdkɪj
ɡɔˑrʲkij,ɦjirkɪj
kiˑsɫɨj,kɪslɪj
svʲeˑtɫɨj,svitlɪj
tʲomnɨj,tɛmnɪj
t͡ʃʲornɨj,ʈ͡ʂɔrnɪj
bʲeˑɫɨj,sɪwɪj
kraˑsnɨj,ʈ͡ʂɛrwɔnɪj
ʒoɫtɨj,ʐɔwtɪj
sʲiˑnʲij,sɪnʲij
zʲɪlonɨj,zɛlɛnɪj
sʲeˑrɨj,sʲirɪj
pʲostrɨj,bɑrwɪstɪj
dʲɪʃovɨj,dɛʂɛwɪj
dərɐɡɔˑj,dɔrɔɦɪj
t͡sɛˑnnɨj,t͡sʲinːɪj
slɪpɔˑj,slʲipɪj
ɡɫuxɔˑj,ɦluxɪj
mɐɡuˑt͡ʃʲij,mɔɦutnʲij
sʲiˑlnɨj,sɪlʲnɪj
sɫaˑbɨj,slɑbkɪj
ʒɨˑrnɨj,ʐɪrnɪj
ʒɨˑrnɨj,tɔwstɪj
strɔˑjnɨj,tɔnkɪj
strɔˑjnɨj,strunkɪj
prʲɪleˑstnɨj,ʈ͡ʂɑrʲiwnɪj
zɫəj,zlɪj
zɫəj,lɪxɪj
ɡɫuˑpɨj,durnɪj
lɪnʲiˑvɨj,lɛdɑʈ͡ʂɪj
prʲileˑʒnɨj,stɑrɑnːɪj
ʒaˑdnɨj,skupɪj
uˑmnɨj,mudrɪj
uˑmnɨj,rɔzumnɪj
jɨskuˑsnɨj,umilɪj
mʲiˑɫɨj,mɪlɪj
vʲɪsʲoɫɨj,wɛsɛlɪj
nʲeˑʒnɨj,lɑɦjidnɪj
ɡɐɫɔˑdnɨj,ɦɔlɔdnɪj
bɐlnɔˑj,slɑbɪj
ɡɔˑɫɨj,ɦɔlɪj
ɡruˑstnɨj,sumnɪj
ʒɨvɔˑj,ʐɪwɪj
xɐrɔˑʃɨj,dɔbrɪj
pɫɐxɔˑj,pɔɦɑnɪj
pɫɐxɔˑj,kɛpsʲkɪj
praˑvʲilnɨj,prɑwɪlʲnɪj
ɐtvrɐtʲiˑtʲɪlnɨj,brɪdkɪj
mʲeˑrzkij,brɪdkɪj
nəstɐjaˑʃʲːij,sprɑwʐnʲij
staˑrɨj,stɑrɪj
nɔˑvɨj,nɔwɪj
bɨˑvʃɨj,kɔlɪʂnʲij
pəʒɨɫɔˑj,stɑrɪj
məɫɐdɔˑj,mɔlɔdɪj
bʲeˑdnɨj,bidnɪj
bɐɡaˑtɨj,bɑɦɑtɪj
znɐkɔˑmɨj,znɑjɔmɪj
znəmʲɪnʲiˑtɨj,slɑwɛtnɪj
t͡ʃuʒɔˑj,ʈ͡ʂuʐɪj
raˑznɨj,rʲiznɪj
bliˑzkij,blɪzʲkɪj
dɐlokij,dɑlɛkɪj
leˑvɨj,lʲiwɪj
praˑvɨj,prɑwɪj
druɡɔˑj,jinɑkʂɪj
pʲeˑrvɨj,pɛrʂɪj
vtɐrɔˑj,druɦɪj
trʲeˑtʲij,trɛtʲij
pɐsleˑdnʲij,ɔstɑnʲːij
ɐdʲiˑn,sɑm
ɐdʲiˑn,ɔdɪn
sraˑzu,vidrɑzu
vmʲeˑstʲɪ,rɑzɔm
vmʲeˑstʲɪ,spʲilʲnɔ
dɔˑɫɡə,dɔwɦɔ
vdruˑk,rɑptɔm
tɔˑtt͡ʃəs,zɑrɑz
pɔˑzʒə,pʲiznʲiʂɛ
